step,body,x,y,z,energy
0,0,1.154084e-01,0.000000e+00,0.000000e+00,-2.651297e+33
0,1,1.496000e+11,1.072080e+08,0.000000e+00,-2.651297e+33
1,0,4.616334e-01,2.481157e-04,0.000000e+00,-2.651298e+33
1,1,1.495998e+11,2.144159e+08,0.000000e+00,-2.651298e+33
2,0,1.038675e+00,9.097573e-04,0.000000e+00,-2.651299e+33
2,1,1.495997e+11,3.216237e+08,0.000000e+00,-2.651299e+33
3,0,1.846532e+00,2.150335e-03,0.000000e+00,-2.651301e+33
3,1,1.495994e+11,4.288313e+08,0.000000e+00,-2.651301e+33
4,0,2.885206e+00,4.135258e-03,0.000000e+00,-2.651302e+33
4,1,1.495990e+11,5.360386e+08,0.000000e+00,-2.651302e+33
5,0,4.154694e+00,7.029936e-03,0.000000e+00,-2.651303e+33
5,1,1.495986e+11,6.432457e+08,0.000000e+00,-2.651303e+33
6,0,5.654996e+00,1.099978e-02,0.000000e+00,-2.651305e+33
6,1,1.495981e+11,7.504523e+08,0.000000e+00,-2.651305e+33
7,0,7.386112e+00,1.621019e-02,0.000000e+00,-2.651306e+33
7,1,1.495975e+11,8.576586e+08,0.000000e+00,-2.651306e+33
8,0,9.348041e+00,2.282658e-02,0.000000e+00,-2.651307e+33
8,1,1.495969e+11,9.648644e+08,0.000000e+00,-2.651307e+33
9,0,1.154078e+01,3.101436e-02,0.000000e+00,-2.651309e+33
9,1,1.495962e+11,1.072070e+09,0.000000e+00,-2.651309e+33
10,0,1.396433e+01,4.093893e-02,0.000000e+00,-2.651310e+33
10,1,1.495953e+11,1.179274e+09,0.000000e+00,-2.651310e+33
11,0,1.661869e+01,5.276570e-02,0.000000e+00,-2.651312e+33
11,1,1.495945e+11,1.286478e+09,0.000000e+00,-2.651312e+33
12,0,1.950386e+01,6.666007e-02,0.000000e+00,-2.651313e+33
12,1,1.495935e+11,1.393682e+09,0.000000e+00,-2.651313e+33
13,0,2.261983e+01,8.278744e-02,0.000000e+00,-2.651314e+33
13,1,1.495925e+11,1.500884e+09,0.000000e+00,-2.651314e+33
14,0,2.596661e+01,1.013132e-01,0.000000e+00,-2.651316e+33
14,1,1.495914e+11,1.608086e+09,0.000000e+00,-2.651316e+33
15,0,2.954419e+01,1.224028e-01,0.000000e+00,-2.651317e+33
15,1,1.495902e+11,1.715287e+09,0.000000e+00,-2.651317e+33
16,0,3.335257e+01,1.462216e-01,0.000000e+00,-2.651318e+33
16,1,1.495889e+11,1.822487e+09,0.000000e+00,-2.651318e+33
17,0,3.739175e+01,1.729350e-01,0.000000e+00,-2.651320e+33
17,1,1.495875e+11,1.929686e+09,0.000000e+00,-2.651320e+33
18,0,4.166172e+01,2.027084e-01,0.000000e+00,-2.651321e+33
18,1,1.495861e+11,2.036884e+09,0.000000e+00,-2.651321e+33
19,0,4.616249e+01,2.357071e-01,0.000000e+00,-2.651322e+33
19,1,1.495846e+11,2.144081e+09,0.000000e+00,-2.651322e+33
20,0,5.089405e+01,2.720967e-01,0.000000e+00,-2.651324e+33
20,1,1.495830e+11,2.251277e+09,0.000000e+00,-2.651324e+33
21,0,5.585640e+01,3.120424e-01,0.000000e+00,-2.651325e+33
21,1,1.495814e+11,2.358472e+09,0.000000e+00,-2.651325e+33
22,0,6.104954e+01,3.557097e-01,0.000000e+00,-2.651327e+33
