step,body,x,y,z,energy
0,0,1.064325e-02,0.000000e+00,0.000000e+00,-3.783650e+32
0,1,5.790894e+10,8.554023e+07,1.050302e+07,-3.783650e+32
4,0,2.660796e-01,7.860805e-04,9.651855e-05,-3.783683e+32
4,1,5.790740e+10,4.276964e+08,5.251452e+07,-3.783683e+32
8,0,8.620879e-01,4.339131e-03,5.327783e-04,-3.783717e+32
8,1,5.790381e+10,7.698360e+08,9.452397e+07,-3.783717e+32
12,0,1.798645e+00,1.267138e-02,1.555849e-03,-3.783750e+32
12,1,5.789816e+10,1.111947e+09,1.365299e+08,-3.783750e+32
16,0,3.075717e+00,2.779487e-02,3.412781e-03,-3.783784e+32
16,1,5.789047e+10,1.454017e+09,1.785308e+08,-3.783784e+32
20,0,4.693257e+00,5.172140e-02,6.350589e-03,-3.783817e+32
20,1,5.788072e+10,1.796033e+09,2.205252e+08,-3.783817e+32
24,0,6.651205e+00,8.646245e-02,1.061625e-02,-3.783851e+32
24,1,5.786892e+10,2.137985e+09,2.625115e+08,-3.783851e+32
28,0,8.949492e+00,1.340291e-01,1.645670e-02,-3.783884e+32
28,1,5.785508e+10,2.479859e+09,3.044884e+08,-3.783884e+32
32,0,1.158803e+01,1.964320e-01,2.411881e-02,-3.783918e+32
32,1,5.783918e+10,2.821644e+09,3.464543e+08,-3.783918e+32
36,0,1.456674e+01,2.756812e-01,3.384939e-02,-3.783951e+32
36,1,5.782123e+10,3.163328e+09,3.884078e+08,-3.783951e+32
40,0,1.788549e+01,3.737862e-01,4.589517e-02,-3.783985e+32
40,1,5.780123e+10,3.504897e+09,4.303473e+08,-3.783985e+32
44,0,2.154418e+01,4.927558e-01,6.050280e-02,-3.784019e+32
44,1,5.777919e+10,3.846341e+09,4.722713e+08,-3.784019e+32
48,0,2.554267e+01,6.345980e-01,7.791884e-02,-3.784052e+32
48,1,5.775509e+10,4.187648e+09,5.141785e+08,-3.784052e+32
52,0,2.988082e+01,8.013201e-01,9.838974e-02,-3.784086e+32
52,1,5.772895e+10,4.528804e+09,5.560672e+08,-3.784086e+32
56,0,3.455848e+01,9.949285e-01,1.221619e-01,-3.784119e+32
56,1,5.770077e+10,4.869798e+09,5.979361e+08,-3.784119e+32
60,0,3.957547e+01,1.217429e+00,1.494814e-01,-3.784153e+32
60,1,5.767054e+10,5.210619e+09,6.397835e+08,-3.784153e+32
64,0,4.493162e+01,1.470825e+00,1.805945e-01,-3.784186e+32
64,1,5.763827e+10,5.551253e+09,6.816081e+08,-3.784186e+32
68,0,5.062674e+01,1.757120e+00,2.157472e-01,-3.784220e+32
68,1,5.760395e+10,5.891689e+09,7.234084e+08,-3.784220e+32
72,0,5.666062e+01,2.078316e+00,2.551852e-01,-3.784253e+32
72,1,5.756759e+10,6.231914e+09,7.651829e+08,-3.784253e+32
76,0,6.303305e+01,2.436415e+00,2.991542e-01,-3.784287e+32
76,1,5.752920e+10,6.571918e+09,8.069300e+08,-3.784287e+32
80,0,6.974380e+01,2.833415e+00,3.478997e-01,-3.784320e+32
80,1,5.748876e+10,6.911686e+09,8.486484e+08,-3.784320e+32
84,0,7.679263e+01,3.271316e+00,4.016671e-01,-3.784354e+32
84,1,5.744629e+10,7.251209e+09,8.903365e+08,-3.784354e+32
88,0,8.417929e+01,3.752112e+00,4.607015e-01,-3.784387e+32
88,1,5.740178e+10,7.590473e+09,9.319929e+08,-3.784387e+32
92,0,9.190352e+01,4.277801e+00,5.252479e-01,-3.784421e+32
92,1,5.735524e+10,7.929466e+09,9.736160e+08,-3.784421e+32
96,0,9.996504e+01,4.850374e+00,5.955511e-01,-3.784454e+32
96,1,5.730667e+10,8.268177e+09,1.015204e+09,-3.784454e+32
100,0,1.083636e+02,5.471825e+00,6.718556e-01,-3.784488e+32
100,1,5.725606e+10,8.606593e+09,1.056757e+09,-3.784488e+32
104,0,1.170988e+02,6.144142e+00,7.544058e-01,-3.784521e+32
104,1,5.720343e+10,8.944703e+09,1.098271e+09,-3.784521e+32
108,0,1.261704e+02,6.869316e+00,8.434459e-01,-3.784555e+32
108,1,5.714877e+10,9.282495e+09,1.139747e+09,-3.784555e+32
112,0,1.355781e+02,7.649331e+00,9.392197e-01,-3.784588e+32
112,1,5.709208e+10,9.619956e+09,1.181182e+09,-3.784588e+32
116,0,1.453216e+02,8.486173e+00,1.041971e+00,-3.784622e+32
116,1,5.703337e+10,9.957074e+09,1.222575e+09,-3.784622e+32
