step,body,x,y,z,energy
0,0,1.154084e-01,0.000000e+00,0.000000e+00,-2.649714e+33
0,1,1.496000e+11,9.842004e+07,4.259015e+07,-2.649714e+33
6,0,5.654996e+00,1.009811e-02,4.369844e-03,-2.649722e+33
6,1,1.495981e+11,6.889369e+08,2.981296e+08,-2.649722e+33
12,0,1.950386e+01,6.119586e-02,2.648182e-02,-2.649730e+33
12,1,1.495935e+11,1.279440e+09,5.536632e+08,-2.649730e+33
18,0,4.166172e+01,1.860921e-01,8.052925e-02,-2.649738e+33
18,1,1.495861e+11,1.869919e+09,8.091861e+08,-2.649738e+33
24,0,7.212816e+01,4.175843e-01,1.807049e-01,-2.649746e+33
24,1,1.495760e+11,2.460362e+09,1.064694e+09,-2.649746e+33
30,0,1.109026e+02,7.884679e-01,3.412005e-01,-2.649754e+33
30,1,1.495631e+11,3.050759e+09,1.320181e+09,-2.649754e+33
36,0,1.579843e+02,1.331536e+00,5.762069e-01,-2.649763e+33
36,1,1.495474e+11,3.641098e+09,1.575644e+09,-2.649763e+33
42,0,2.133724e+02,2.079577e+00,8.999133e-01,-2.649771e+33
42,1,1.495289e+11,4.231369e+09,1.831077e+09,-2.649771e+33
48,0,2.770659e+02,3.065378e+00,1.326507e+00,-2.649779e+33
48,1,1.495077e+11,4.821561e+09,2.086476e+09,-2.649779e+33
54,0,3.490635e+02,4.321719e+00,1.870175e+00,-2.649787e+33
54,1,1.494837e+11,5.411663e+09,2.341836e+09,-2.649787e+33
60,0,4.293640e+02,5.881378e+00,2.545099e+00,-2.649795e+33
60,1,1.494570e+11,6.001664e+09,2.597152e+09,-2.649795e+33
66,0,5.179658e+02,7.777124e+00,3.365462e+00,-2.649803e+33
66,1,1.494275e+11,6.591553e+09,2.852419e+09,-2.649803e+33
72,0,6.148672e+02,1.004172e+01,4.345441e+00,-2.649812e+33
72,1,1.493952e+11,7.181319e+09,3.107634e+09,-2.649812e+33
78,0,7.200665e+02,1.270793e+01,5.499212e+00,-2.649820e+33
78,1,1.493602e+11,7.770951e+09,3.362791e+09,-2.649820e+33
84,0,8.335617e+02,1.580849e+01,6.840946e+00,-2.649828e+33
84,1,1.493224e+11,8.360438e+09,3.617885e+09,-2.649828e+33
90,0,9.553507e+02,1.937616e+01,8.384814e+00,-2.649836e+33
90,1,1.492818e+11,8.949770e+09,3.872911e+09,-2.649836e+33
96,0,1.085431e+03,2.344366e+01,1.014498e+01,-2.649844e+33
96,1,1.492385e+11,9.538936e+09,4.127866e+09,-2.649844e+33
102,0,1.223801e+03,2.804372e+01,1.213560e+01,-2.649853e+33
102,1,1.491924e+11,1.012792e+10,4.382744e+09,-2.649853e+33
108,0,1.370457e+03,3.320905e+01,1.437084e+01,-2.649861e+33
108,1,1.491436e+11,1.071672e+10,4.637541e+09,-2.649861e+33
114,0,1.525397e+03,3.897236e+01,1.686485e+01,-2.649869e+33
114,1,1.490920e+11,1.130532e+10,4.892251e+09,-2.649869e+33
120,0,1.688618e+03,4.536633e+01,1.963177e+01,-2.649877e+33
120,1,1.490376e+11,1.189372e+10,5.146870e+09,-2.649877e+33
126,0,1.860117e+03,5.242366e+01,2.268574e+01,-2.649885e+33
126,1,1.489805e+11,1.248189e+10,5.401394e+09,-2.649885e+33
132,0,2.039890e+03,6.017699e+01,2.604091e+01,-2.649893e+33
132,1,1.489206e+11,1.306982e+10,5.655818e+09,-2.649893e+33
138,0,2.227935e+03,6.865901e+01,2.971141e+01,-2.649902e+33
138,1,1.488580e+11,1.365752e+10,5.910136e+09,-2.649902e+33
144,0,2.424248e+03,7.790233e+01,3.371135e+01,-2.649910e+33
144,1,1.487926e+11,1.424496e+10,6.164345e+09,-2.649910e+33
150,0,2.628825e+03,8.793960e+01,3.805486e+01,-2.649918e+33
150,1,1.487245e+11,1.483214e+10,6.418439e+09,-2.649918e+33
156,0,2.841662e+03,9.880342e+01,4.275606e+01,-2.649926e+33
156,1,1.486536e+11,1.541904e+10,6.672414e+09,-2.649926e+33
162,0,3.062756e+03,1.105264e+02,4.782904e+01,-2.649934e+33
162,1,1.485799e+11,1.600566e+10,6.926266e+09,-2.649934e+33
168,0,3.292102e+03,1.231411e+02,5.328791e+01,-2.649942e+33
168,1,1.485036e+11,1.659197e+10,7.179988e+09,-2.649942e+33
174,0,3.529697e+03,1.366801e+02,5.914677e+01,-2.649951e+33
174,1,1.484244e+11,1.717799e+10,7.433578e+09,-2.649951e+33
180,0,3.775535e+03,1.511760e+02,6.541968e+01,-2.649959e+33
180,1,1.483425e+11,1.776368e+10,7.687030e+09,-2.649959e+33
186,0,4.029612e+03,1.666612e+02,7.212074e+01,-2.649967e+33
186,1,1.482579e+11,1.834904e+10,7.940339e+09,-2.649967e+33
192,0,4.291924e+03,1.831683e+02,7.926401e+01,-2.649975e+33
192,1,1.481706e+11,1.893406e+10,8.193501e+09,-2.649975e+33
198,0,4.562466e+03,2.007298e+02,8.686356e+01,-2.649983e+33
198,1,1.480805e+11,1.951873e+10,8.446511e+09,-2.649983e+33
204,0,4.841232e+03,2.193782e+02,9.493342e+01,-2.649991e+33
204,1,1.479876e+11,2.010304e+10,8.699364e+09,-2.649991e+33
210,0,5.128217e+03,2.391459e+02,1.034877e+02,-2.650000e+33
210,1,1.478920e+11,2.068698e+10,8.952056e+09,-2.650000e+33
216,0,5.423417e+03,2.600653e+02,1.125403e+02,-2.650008e+33
216,1,1.477937e+11,2.127053e+10,9.204582e+09,-2.650008e+33
222,0,5.726825e+03,2.821689e+02,1.221054e+02,-2.650016e+33
222,1,1.476927e+11,2.185369e+10,9.456937e+09,-2.650016e+33
228,0,6.038436e+03,3.054890e+02,1.321969e+02,-2.650024e+33
228,1,1.475889e+11,2.243644e+10,9.709117e+09,-2.650024e+33
234,0,6.358244e+03,3.300580e+02,1.428288e+02,-2.650032e+33
234,1,1.474824e+11,2.301878e+10,9.961117e+09,-2.650032e+33
240,0,6.686244e+03,3.559083e+02,1.540153e+02,-2.650040e+33
240,1,1.473731e+11,2.360069e+10,1.021293e+10,-2.650040e+33
246,0,7.022428e+03,3.830721e+02,1.657701e+02,-2.650049e+33
246,1,1.472612e+11,2.418217e+10,1.046456e+10,-2.650049e+33
252,0,7.366792e+03,4.115818e+02,1.781074e+02,-2.650057e+33
252,1,1.471465e+11,2.476319e+10,1.071599e+10,-2.650057e+33
258,0,7.719329e+03,4.414697e+02,1.910410e+02,-2.650065e+33
258,1,1.470290e+11,2.534376e+10,1.096722e+10,-2.650065e+33
264,0,8.080031e+03,4.727679e+02,2.045850e+02,-2.650073e+33
264,1,1.469089e+11,2.592385e+10,1.121825e+10,-2.650073e+33
270,0,8.448893e+03,5.055088e+02,2.187532e+02,-2.650081e+33
270,1,1.467861e+11,2.650347e+10,1.146908e+10,-2.650081e+33
276,0,8.825907e+03,5.397244e+02,2.335596e+02,-2.650089e+33
276,1,1.466605e+11,2.708259e+10,1.171968e+10,-2.650089e+33
282,0,9.211067e+03,5.754470e+02,2.490182e+02,-2.650098e+33
282,1,1.465322e+11,2.766122e+10,1.197008e+10,-2.650098e+33
288,0,9.604365e+03,6.127087e+02,2.651427e+02,-2.650106e+33
288,1,1.464012e+11,2.823933e+10,1.222025e+10,-2.650106e+33
294,0,1.000579e+04,6.515416e+02,2.819472e+02,-2.650114e+33
294,1,1.462675e+11,2.881691e+10,1.247019e+10,-2.650114e+33
300,0,1.041535e+04,6.919778e+02,2.994455e+02,-2.650122e+33
300,1,1.461311e+11,2.939397e+10,1.271990e+10,-2.650122e+33
306,0,1.083302e+04,7.340494e+02,3.176515e+02,-2.650130e+33
306,1,1.459920e+11,2.997047e+10,1.296938e+10,-2.650130e+33
312,0,1.125879e+04,7.777882e+02,3.365790e+02,-2.650138e+33
312,1,1.458502e+11,3.054643e+10,1.321862e+10,-2.650138e+33
318,0,1.169267e+04,8.232265e+02,3.562419e+02,-2.650147e+33
318,1,1.457057e+11,3.112181e+10,1.346761e+10,-2.650147e+33
324,0,1.213464e+04,8.703960e+02,3.766540e+02,-2.650155e+33
324,1,1.455585e+11,3.169662e+10,1.371635e+10,-2.650155e+33
330,0,1.258470e+04,9.193288e+02,3.978291e+02,-2.650163e+33
330,1,1.454086e+11,3.227085e+10,1.396484e+10,-2.650163e+33
336,0,1.304283e+04,9.700567e+02,4.197810e+02,-2.650171e+33
336,1,1.452560e+11,3.284447e+10,1.421307e+10,-2.650171e+33
342,0,1.350903e+04,1.022612e+03,4.425235e+02,-2.650179e+33
342,1,1.451008e+11,3.341749e+10,1.446104e+10,-2.650179e+33
348,0,1.398328e+04,1.077025e+03,4.660704e+02,-2.650187e+33
348,1,1.449428e+11,3.398989e+10,1.470874e+10,-2.650187e+33
354,0,1.446559e+04,1.133329e+03,4.904354e+02,-2.650196e+33
354,1,1.447822e+11,3.456165e+10,1.495616e+10,-2.650196e+33
360,0,1.495594e+04,1.191556e+03,5.156323e+02,-2.650204e+33
360,1,1.446189e+11,3.513278e+10,1.520331e+10,-2.650204e+33
366,0,1.545432e+04,1.251737e+03,5.416749e+02,-2.650212e+33
366,1,1.444529e+11,3.570326e+10,1.545018e+10,-2.650212e+33
372,0,1.596072e+04,1.313903e+03,5.685767e+02,-2.650220e+33
372,1,1.442842e+11,3.627307e+10,1.569676e+10,-2.650220e+33
378,0,1.647514e+04,1.378087e+03,5.963515e+02,-2.650228e+33
378,1,1.441129e+11,3.684222e+10,1.594305e+10,-2.650228e+33
384,0,1.699756e+04,1.444320e+03,6.250130e+02,-2.650236e+33
384,1,1.439389e+11,3.741068e+10,1.618905e+10,-2.650236e+33
390,0,1.752797e+04,1.512633e+03,6.545749e+02,-2.650245e+33
390,1,1.437622e+11,3.797845e+10,1.643474e+10,-2.650245e+33
396,0,1.806637e+04,1.583059e+03,6.850507e+02,-2.650253e+33
396,1,1.435829e+11,3.854551e+10,1.668013e+10,-2.650253e+33
402,0,1.861274e+04,1.655628e+03,7.164542e+02,-2.650261e+33
402,1,1.434009e+11,3.911186e+10,1.692521e+10,-2.650261e+33
408,0,1.916708e+04,1.730372e+03,7.487990e+02,-2.650269e+33
408,1,1.432163e+11,3.967749e+10,1.716998e+10,-2.650269e+33
414,0,1.972937e+04,1.807323e+03,7.820985e+02,-2.650277e+33
414,1,1.430290e+11,4.024238e+10,1.741443e+10,-2.650277e+33
420,0,2.029961e+04,1.886512e+03,8.163665e+02,-2.650285e+33
420,1,1.428391e+11,4.080653e+10,1.765856e+10,-2.650285e+33
426,0,2.087778e+04,1.967969e+03,8.516164e+02,-2.650294e+33
426,1,1.426466e+11,4.136992e+10,1.790236e+10,-2.650294e+33
432,0,2.146387e+04,2.051728e+03,8.878619e+02,-2.650302e+33
432,1,1.424514e+11,4.193254e+10,1.814583e+10,-2.650302e+33
438,0,2.205787e+04,2.137818e+03,9.251163e+02,-2.650310e+33
438,1,1.422535e+11,4.249439e+10,1.838896e+10,-2.650310e+33
444,0,2.265977e+04,2.226271e+03,9.633933e+02,-2.650318e+33
444,1,1.420531e+11,4.305545e+10,1.863176e+10,-2.650318e+33
450,0,2.326956e+04,2.317118e+03,1.002706e+03,-2.650326e+33
450,1,1.418500e+11,4.361571e+10,1.887420e+10,-2.650326e+33
456,0,2.388723e+04,2.410390e+03,1.043069e+03,-2.650334e+33
456,1,1.416443e+11,4.417517e+10,1.911630e+10,-2.650334e+33
462,0,2.451277e+04,2.506119e+03,1.084494e+03,-2.650343e+33
462,1,1.414359e+11,4.473381e+10,1.935805e+10,-2.650343e+33
468,0,2.514616e+04,2.604334e+03,1.126996e+03,-2.650351e+33
468,1,1.412250e+11,4.529161e+10,1.959943e+10,-2.650351e+33
474,0,2.578740e+04,2.705069e+03,1.170588e+03,-2.650359e+33
474,1,1.410114e+11,4.584858e+10,1.984045e+10,-2.650359e+33
480,0,2.643646e+04,2.808352e+03,1.215282e+03,-2.650367e+33
480,1,1.407952e+11,4.640471e+10,2.008111e+10,-2.650367e+33
486,0,2.709335e+04,2.914215e+03,1.261094e+03,-2.650375e+33
486,1,1.405764e+11,4.695997e+10,2.032139e+10,-2.650375e+33
492,0,2.775804e+04,3.022690e+03,1.308035e+03,-2.650383e+33
492,1,1.403551e+11,4.751436e+10,2.056130e+10,-2.650383e+33
498,0,2.843053e+04,3.133806e+03,1.356119e+03,-2.650392e+33
498,1,1.401311e+11,4.806787e+10,2.080083e+10,-2.650392e+33
504,0,2.911080e+04,3.247595e+03,1.405360e+03,-2.650400e+33
504,1,1.399045e+11,4.862050e+10,2.103997e+10,-2.650400e+33
510,0,2.979884e+04,3.364087e+03,1.455770e+03,-2.650408e+33
510,1,1.396754e+11,4.917222e+10,2.127872e+10,-2.650408e+33
516,0,3.049464e+04,3.483312e+03,1.507364e+03,-2.650416e+33
516,1,1.394436e+11,4.972303e+10,2.151708e+10,-2.650416e+33
522,0,3.119818e+04,3.605302e+03,1.560154e+03,-2.650424e+33
522,1,1.392093e+11,5.027292e+10,2.175504e+10,-2.650424e+33
528,0,3.190946e+04,3.730088e+03,1.614153e+03,-2.650432e+33
528,1,1.389724e+11,5.082188e+10,2.199259e+10,-2.650432e+33
534,0,3.262845e+04,3.857698e+03,1.669375e+03,-2.650441e+33
534,1,1.387330e+11,5.136990e+10,2.222974e+10,-2.650441e+33
540,0,3.335514e+04,3.988165e+03,1.725833e+03,-2.650449e+33
540,1,1.384909e+11,5.191697e+10,2.246648e+10,-2.650449e+33
546,0,3.408953e+04,4.121517e+03,1.783540e+03,-2.650457e+33
546,1,1.382463e+11,5.246307e+10,2.270280e+10,-2.650457e+33
552,0,3.483160e+04,4.257786e+03,1.842509e+03,-2.650465e+33
552,1,1.379992e+11,5.300821e+10,2.293870e+10,-2.650465e+33
558,0,3.558133e+04,4.397003e+03,1.902753e+03,-2.650473e+33
558,1,1.377495e+11,5.355236e+10,2.317418e+10,-2.650473e+33
564,0,3.633871e+04,4.539196e+03,1.964285e+03,-2.650481e+33
564,1,1.374972e+11,5.409552e+10,2.340922e+10,-2.650481e+33
570,0,3.710372e+04,4.684396e+03,2.027119e+03,-2.650490e+33
570,1,1.372424e+11,5.463768e+10,2.364384e+10,-2.650490e+33
576,0,3.787636e+04,4.832634e+03,2.091268e+03,-2.650498e+33
576,1,1.369851e+11,5.517883e+10,2.387801e+10,-2.650498e+33
582,0,3.865661e+04,4.983940e+03,2.156743e+03,-2.650506e+33
582,1,1.367253e+11,5.571896e+10,2.411175e+10,-2.650506e+33
588,0,3.944445e+04,5.138343e+03,2.223559e+03,-2.650514e+33
588,1,1.364629e+11,5.625806e+10,2.434504e+10,-2.650514e+33
594,0,4.023986e+04,5.295873e+03,2.291729e+03,-2.650522e+33
594,1,1.361979e+11,5.679611e+10,2.457787e+10,-2.650522e+33
600,0,4.104285e+04,5.456560e+03,2.361264e+03,-2.650530e+33
600,1,1.359305e+11,5.733311e+10,2.481025e+10,-2.650530e+33
606,0,4.185338e+04,5.620435e+03,2.432179e+03,-2.650539e+33
606,1,1.356606e+11,5.786905e+10,2.504218e+10,-2.650539e+33
612,0,4.267144e+04,5.787526e+03,2.504486e+03,-2.650547e+33
612,1,1.353881e+11,5.840392e+10,2.527364e+10,-2.650547e+33
618,0,4.349703e+04,5.957864e+03,2.578198e+03,-2.650555e+33
618,1,1.351131e+11,5.893771e+10,2.550463e+10,-2.650555e+33
624,0,4.433011e+04,6.131478e+03,2.653328e+03,-2.650563e+33
624,1,1.348357e+11,5.947041e+10,2.573514e+10,-2.650563e+33
630,0,4.517069e+04,6.308398e+03,2.729888e+03,-2.650571e+33
630,1,1.345557e+11,6.000201e+10,2.596519e+10,-2.650571e+33
636,0,4.601874e+04,6.488654e+03,2.807891e+03,-2.650579e+33
636,1,1.342733e+11,6.053249e+10,2.619475e+10,-2.650579e+33
642,0,4.687424e+04,6.672274e+03,2.887351e+03,-2.650588e+33
642,1,1.339883e+11,6.106186e+10,2.642383e+10,-2.650588e+33
648,0,4.773719e+04,6.859288e+03,2.968279e+03,-2.650596e+33
648,1,1.337009e+11,6.159009e+10,2.665241e+10,-2.650596e+33
654,0,4.860756e+04,7.049726e+03,3.050689e+03,-2.650604e+33
654,1,1.334110e+11,6.211719e+10,2.688051e+10,-2.650604e+33
660,0,4.948534e+04,7.243616e+03,3.134593e+03,-2.650612e+33
660,1,1.331187e+11,6.264313e+10,2.710810e+10,-2.650612e+33
666,0,5.037052e+04,7.440989e+03,3.220003e+03,-2.650620e+33
666,1,1.328239e+11,6.316791e+10,2.733520e+10,-2.650620e+33
672,0,5.126307e+04,7.641873e+03,3.306934e+03,-2.650628e+33
672,1,1.325266e+11,6.369153e+10,2.756179e+10,-2.650628e+33
678,0,5.216298e+04,7.846297e+03,3.395396e+03,-2.650637e+33
678,1,1.322269e+11,6.421397e+10,2.778786e+10,-2.650637e+33
684,0,5.307023e+04,8.054290e+03,3.485403e+03,-2.650645e+33
684,1,1.319247e+11,6.473521e+10,2.801343e+10,-2.650645e+33
690,0,5.398481e+04,8.265882e+03,3.576966e+03,-2.650653e+33
690,1,1.316201e+11,6.525526e+10,2.823847e+10,-2.650653e+33
696,0,5.490670e+04,8.481100e+03,3.670100e+03,-2.650661e+33
696,1,1.313131e+11,6.577410e+10,2.846300e+10,-2.650661e+33
702,0,5.583589e+04,8.699975e+03,3.764815e+03,-2.650669e+33
702,1,1.310036e+11,6.629172e+10,2.868699e+10,-2.650669e+33
708,0,5.677234e+04,8.922534e+03,3.861125e+03,-2.650677e+33
708,1,1.306917e+11,6.680812e+10,2.891046e+10,-2.650677e+33
714,0,5.771606e+04,9.148807e+03,3.959042e+03,-2.650686e+33
714,1,1.303774e+11,6.732328e+10,2.913338e+10,-2.650686e+33
720,0,5.866702e+04,9.378821e+03,4.058578e+03,-2.650694e+33
720,1,1.300607e+11,6.783719e+10,2.935577e+10,-2.650694e+33
726,0,5.962520e+04,9.612606e+03,4.159746e+03,-2.650702e+33
726,1,1.297416e+11,6.834985e+10,2.957762e+10,-2.650702e+33
732,0,6.059058e+04,9.850190e+03,4.262558e+03,-2.650710e+33
732,1,1.294200e+11,6.886124e+10,2.979892e+10,-2.650710e+33
738,0,6.156315e+04,1.009160e+04,4.367026e+03,-2.650718e+33
738,1,1.290961e+11,6.937136e+10,3.001967e+10,-2.650718e+33
744,0,6.254289e+04,1.033687e+04,4.473163e+03,-2.650726e+33
744,1,1.287698e+11,6.988019e+10,3.023986e+10,-2.650726e+33
750,0,6.352979e+04,1.058602e+04,4.580980e+03,-2.650735e+33
750,1,1.284411e+11,7.038773e+10,3.045949e+10,-2.650735e+33
756,0,6.452381e+04,1.083908e+04,4.690490e+03,-2.650743e+33
756,1,1.281101e+11,7.089397e+10,3.067856e+10,-2.650743e+33
762,0,6.552495e+04,1.109609e+04,4.801706e+03,-2.650751e+33
762,1,1.277766e+11,7.139889e+10,3.089706e+10,-2.650751e+33
768,0,6.653319e+04,1.135706e+04,4.914639e+03,-2.650759e+33
768,1,1.274408e+11,7.190249e+10,3.111499e+10,-2.650759e+33
774,0,6.754850e+04,1.162203e+04,5.029301e+03,-2.650767e+33
774,1,1.271027e+11,7.240477e+10,3.133234e+10,-2.650767e+33
780,0,6.857088e+04,1.189102e+04,5.145704e+03,-2.650775e+33
780,1,1.267622e+11,7.290570e+10,3.154911e+10,-2.650775e+33
786,0,6.960029e+04,1.216407e+04,5.263861e+03,-2.650784e+33
786,1,1.264193e+11,7.340528e+10,3.176530e+10,-2.650784e+33
792,0,7.063672e+04,1.244119e+04,5.383784e+03,-2.650792e+33
792,1,1.260741e+11,7.390350e+10,3.198090e+10,-2.650792e+33
798,0,7.168016e+04,1.272242e+04,5.505483e+03,-2.650800e+33
798,1,1.257266e+11,7.440036e+10,3.219591e+10,-2.650800e+33
804,0,7.273057e+04,1.300779e+04,5.628973e+03,-2.650808e+33
804,1,1.253768e+11,7.489583e+10,3.241032e+10,-2.650808e+33
810,0,7.378795e+04,1.329732e+04,5.754263e+03,-2.650816e+33
