step,body,x,y,z,energy
0,0,2.128398e-02,0.000000e+00,0.000000e+00,-1.861090e+32
0,1,2.278999e+11,1.572339e+08,7.398865e+07,-1.861090e+32
6,0,1.042912e+00,1.953015e-03,9.190192e-04,-1.861096e+32
6,1,2.278968e+11,1.100631e+09,5.179177e+08,-1.861096e+32
12,0,3.596960e+00,1.183552e-02,5.569372e-03,-1.861103e+32
12,1,2.278888e+11,2.044004e+09,9.618352e+08,-1.861103e+32
18,0,7.683371e+00,3.599091e-02,1.693604e-02,-1.861109e+32
18,1,2.278761e+11,2.987332e+09,1.405732e+09,-1.861109e+32
24,0,1.330206e+01,8.076229e-02,3.800385e-02,-1.861116e+32
24,1,2.278586e+11,3.930596e+09,1.849598e+09,-1.861116e+32
30,0,2.045290e+01,1.524923e-01,7.175743e-02,-1.861122e+32
30,1,2.278363e+11,4.873776e+09,2.293425e+09,-1.861122e+32
36,0,2.913574e+01,2.575230e-01,1.211811e-01,-1.861129e+32
36,1,2.278093e+11,5.816852e+09,2.737203e+09,-1.861129e+32
42,0,3.935041e+01,4.021958e-01,1.892590e-01,-1.861135e+32
42,1,2.277775e+11,6.759805e+09,3.180923e+09,-1.861135e+32
48,0,5.109667e+01,5.928513e-01,2.789746e-01,-1.861142e+32
48,1,2.277410e+11,7.702615e+09,3.624576e+09,-1.861142e+32
54,0,6.437429e+01,8.358288e-01,3.933112e-01,-1.861148e+32
54,1,2.276996e+11,8.645262e+09,4.068152e+09,-1.861148e+32
60,0,7.918298e+01,1.137467e+00,5.352514e-01,-1.861155e+32
60,1,2.276535e+11,9.587727e+09,4.511642e+09,-1.861155e+32
66,0,9.552243e+01,1.504103e+00,7.077772e-01,-1.861161e+32
66,1,2.276027e+11,1.052999e+10,4.955037e+09,-1.861161e+32
72,0,1.133923e+02,1.942073e+00,9.138700e-01,-1.861168e+32
72,1,2.275470e+11,1.147203e+10,5.398327e+09,-1.861168e+32
78,0,1.327922e+02,2.457710e+00,1.156511e+00,-1.861174e+32
78,1,2.274867e+11,1.241383e+10,5.841504e+09,-1.861174e+32
84,0,1.537217e+02,3.057349e+00,1.438679e+00,-1.861181e+32
84,1,2.274215e+11,1.335536e+10,6.284557e+09,-1.861181e+32
90,0,1.761805e+02,3.747319e+00,1.763354e+00,-1.861187e+32
90,1,2.273516e+11,1.429662e+10,6.727479e+09,-1.861187e+32
96,0,2.001679e+02,4.533949e+00,2.133515e+00,-1.861194e+32
96,1,2.272769e+11,1.523757e+10,7.170258e+09,-1.861194e+32
102,0,2.256835e+02,5.423568e+00,2.552137e+00,-1.861200e+32
102,1,2.271975e+11,1.617821e+10,7.612887e+09,-1.861200e+32
108,0,2.527269e+02,6.422498e+00,3.022198e+00,-1.861207e+32
108,1,2.271133e+11,1.711850e+10,8.055356e+09,-1.861207e+32
114,0,2.812973e+02,7.537064e+00,3.546673e+00,-1.861213e+32
114,1,2.270244e+11,1.805844e+10,8.497655e+09,-1.861213e+32
120,0,3.113942e+02,8.773585e+00,4.128536e+00,-1.861220e+32
120,1,2.269307e+11,1.899799e+10,8.939776e+09,-1.861220e+32
126,0,3.430171e+02,1.013838e+01,4.770759e+00,-1.861226e+32
126,1,2.268323e+11,1.993715e+10,9.381709e+09,-1.861226e+32
132,0,3.761651e+02,1.163776e+01,5.476314e+00,-1.861232e+32
132,1,2.267291e+11,2.087588e+10,9.823445e+09,-1.861232e+32
138,0,4.108376e+02,1.327804e+01,6.248171e+00,-1.861239e+32
138,1,2.266212e+11,2.181418e+10,1.026497e+10,-1.861239e+32
144,0,4.470339e+02,1.506553e+01,7.089300e+00,-1.861245e+32
144,1,2.265085e+11,2.275202e+10,1.070629e+10,-1.861245e+32
150,0,4.847533e+02,1.700653e+01,8.002667e+00,-1.861252e+32
150,1,2.263911e+11,2.368938e+10,1.114738e+10,-1.861252e+32
156,0,5.239949e+02,1.910735e+01,8.991238e+00,-1.861258e+32
156,1,2.262690e+11,2.462625e+10,1.158823e+10,-1.861258e+32
162,0,5.647578e+02,2.137429e+01,1.005798e+01,-1.861265e+32
162,1,2.261421e+11,2.556259e+10,1.202884e+10,-1.861265e+32
168,0,6.070414e+02,2.381364e+01,1.120585e+01,-1.861271e+32
168,1,2.260105e+11,2.649840e+10,1.246920e+10,-1.861271e+32
174,0,6.508446e+02,2.643170e+01,1.243781e+01,-1.861278e+32
174,1,2.258741e+11,2.743366e+10,1.290930e+10,-1.861278e+32
180,0,6.961665e+02,2.923474e+01,1.375683e+01,-1.861284e+32
180,1,2.257331e+11,2.836834e+10,1.334913e+10,-1.861284e+32
186,0,7.430063e+02,3.222907e+01,1.516585e+01,-1.861291e+32
186,1,2.255873e+11,2.930242e+10,1.378867e+10,-1.861291e+32
192,0,7.913628e+02,3.542096e+01,1.666784e+01,-1.861297e+32
192,1,2.254367e+11,3.023589e+10,1.422793e+10,-1.861297e+32
198,0,8.412352e+02,3.881668e+01,1.826574e+01,-1.861304e+32
198,1,2.252815e+11,3.116872e+10,1.466689e+10,-1.861304e+32
204,0,8.926223e+02,4.242250e+01,1.996252e+01,-1.861310e+32
204,1,2.251216e+11,3.210090e+10,1.510554e+10,-1.861310e+32
210,0,9.455231e+02,4.624471e+01,2.176111e+01,-1.861317e+32
210,1,2.249569e+11,3.303241e+10,1.554387e+10,-1.861317e+32
216,0,9.999364e+02,5.028955e+01,2.366447e+01,-1.861323e+32
216,1,2.247875e+11,3.396322e+10,1.598188e+10,-1.861323e+32
222,0,1.055861e+03,5.456329e+01,2.567553e+01,-1.861330e+32
222,1,2.246134e+11,3.489332e+10,1.641955e+10,-1.861330e+32
228,0,1.113296e+03,5.907218e+01,2.779726e+01,-1.861336e+32
228,1,2.244347e+11,3.582269e+10,1.685688e+10,-1.861336e+32
234,0,1.172240e+03,6.382247e+01,3.003257e+01,-1.861343e+32
234,1,2.242512e+11,3.675131e+10,1.729385e+10,-1.861343e+32
240,0,1.232692e+03,6.882040e+01,3.238442e+01,-1.861349e+32
240,1,2.240630e+11,3.767915e+10,1.773046e+10,-1.861349e+32
246,0,1.294651e+03,7.407222e+01,3.485574e+01,-1.861356e+32
246,1,2.238702e+11,3.860621e+10,1.816670e+10,-1.861356e+32
252,0,1.358114e+03,7.958415e+01,3.744946e+01,-1.861362e+32
252,1,2.236726e+11,3.953245e+10,1.860256e+10,-1.861362e+32
258,0,1.423082e+03,8.536242e+01,4.016851e+01,-1.861369e+32
258,1,2.234704e+11,4.045787e+10,1.903803e+10,-1.861369e+32
264,0,1.489552e+03,9.141326e+01,4.301582e+01,-1.861375e+32
264,1,2.232635e+11,4.138244e+10,1.947310e+10,-1.861375e+32
270,0,1.557523e+03,9.774288e+01,4.599431e+01,-1.861382e+32
270,1,2.230519e+11,4.230614e+10,1.990776e+10,-1.861382e+32
276,0,1.626994e+03,1.043575e+02,4.910691e+01,-1.861388e+32
276,1,2.228357e+11,4.322896e+10,2.034200e+10,-1.861388e+32
282,0,1.697963e+03,1.112633e+02,5.235654e+01,-1.861395e+32
282,1,2.226148e+11,4.415086e+10,2.077582e+10,-1.861395e+32
288,0,1.770429e+03,1.184665e+02,5.574612e+01,-1.861401e+32
288,1,2.223892e+11,4.507185e+10,2.120920e+10,-1.861401e+32
294,0,1.844391e+03,1.259733e+02,5.927855e+01,-1.861408e+32
294,1,2.221590e+11,4.599188e+10,2.164214e+10,-1.861408e+32
300,0,1.919846e+03,1.337899e+02,6.295675e+01,-1.861414e+32
300,1,2.219241e+11,4.691096e+10,2.207462e+10,-1.861414e+32
306,0,1.996793e+03,1.419224e+02,6.678363e+01,-1.861421e+32
306,1,2.216846e+11,4.782905e+10,2.250664e+10,-1.861421e+32
312,0,2.075231e+03,1.503771e+02,7.076209e+01,-1.861427e+32
312,1,2.214405e+11,4.874613e+10,2.293819e+10,-1.861427e+32
318,0,2.155157e+03,1.591600e+02,7.489503e+01,-1.861434e+32
318,1,2.211917e+11,4.966220e+10,2.336926e+10,-1.861434e+32
324,0,2.236571e+03,1.682774e+02,7.918535e+01,-1.861440e+32
324,1,2.209383e+11,5.057722e+10,2.379983e+10,-1.861440e+32
330,0,2.319470e+03,1.777355e+02,8.363596e+01,-1.861447e+32
330,1,2.206802e+11,5.149119e+10,2.422991e+10,-1.861447e+32
336,0,2.403853e+03,1.875402e+02,8.824973e+01,-1.861453e+32
336,1,2.204176e+11,5.240407e+10,2.465948e+10,-1.861453e+32
342,0,2.489718e+03,1.976979e+02,9.302955e+01,-1.861460e+32
342,1,2.201503e+11,5.331586e+10,2.508854e+10,-1.861460e+32
348,0,2.577064e+03,2.082145e+02,9.797832e+01,-1.861466e+32
348,1,2.198784e+11,5.422652e+10,2.551707e+10,-1.861466e+32
354,0,2.665887e+03,2.190963e+02,1.030989e+02,-1.861473e+32
354,1,2.196020e+11,5.513606e+10,2.594506e+10,-1.861473e+32
360,0,2.756187e+03,2.303494e+02,1.083942e+02,-1.861479e+32
360,1,2.193209e+11,5.604443e+10,2.637251e+10,-1.861479e+32
366,0,2.847962e+03,2.419798e+02,1.138671e+02,-1.861486e+32
366,1,2.190352e+11,5.695163e+10,2.679940e+10,-1.861486e+32
372,0,2.941209e+03,2.539937e+02,1.195204e+02,-1.861492e+32
372,1,2.187450e+11,5.785764e+10,2.722574e+10,-1.861492e+32
378,0,3.035927e+03,2.663972e+02,1.253570e+02,-1.861499e+32
378,1,2.184501e+11,5.876244e+10,2.765150e+10,-1.861499e+32
384,0,3.132114e+03,2.791963e+02,1.313798e+02,-1.861505e+32
384,1,2.181507e+11,5.966600e+10,2.807669e+10,-1.861505e+32
390,0,3.229768e+03,2.923971e+02,1.375916e+02,-1.861512e+32
390,1,2.178468e+11,6.056831e+10,2.850129e+10,-1.861512e+32
